battery_no,cycle_idx,residual,soc_est,tau,innovation,abs_innov,innov_abs_ema,norm_innov,norm_innov_ema,abs_dOCV_dSOC,abs_dOCV_dSOC_ema,throughput_frac,soc_gate_alpha_ema,v_resid_abs_mean_so_far,inv_abs_dOCV_dSOC_mean_so_far,norm_innov_mean_so_far,qnom_start_frac
2,2,0.00812618094686027,0.233196133102726,0.227272727272727,0.0135944871313405,0.0135944871313405,0.0177468753619075,1.95983072148451,2.84808921739036,0.202342886579185,0.863185141714904,0.198079832651005,0.218066825089877,0.0868334374218239,9090910.76491708,6.76671522463325,0.000277777777777778
2,2,0.00438990251927718,0.259246461117086,0.25,-0.0750836688492118,0.0750836688492118,0.0206137150362727,10.2455854675137,3.21796402989653,0.168157214863572,0.828433745372337,0.218604656247323,0.257163483835383,0.0802121262376243,8333335.36340865,7.05662107820662,0.000277777777777778
2,2,0.00320191348559323,0.282748499737547,0.272727272727273,-0.0270937364089523,0.0270937364089523,0.0209377161049067,3.67389338262555,3.24076049753298,0.144256514977703,0.794224883852605,0.239189684441024,0.263178287631615,0.0753395385245811,7692310.09946152,6.79641125546962,0.000277777777777778
2,2,0.00295056865933363,0.305313894150584,0.295454545454545,-0.0470755666312219,0.0470755666312219,0.0222446086312225,6.26021364318955,3.39173315481581,0.127204082000937,0.760873843760022,0.259805816228619,0.300019373250034,0.0702072809536927,7142859.93959876,6.75811142602104,0.000277777777777778
2,2,0.00176643979535873,0.328812072601335,0.318181818181818,-0.00728614270503192,0.00728614270503192,0.0214966853349129,0.968957116865329,3.27059435291828,0.11576036311733,0.728618169727887,0.280421062107788,0.285018404587533,0.0678673608502822,6666669.85286121,6.37216780541066,0.000277777777777778
2,2,0.00178492338306691,0.351107638600404,0.340909090909091,-0.0760405898200602,0.0760405898200602,0.0242238805591703,9.63623711099237,3.58887649082199,0.110774215467014,0.697725972014844,0.301001178298515,0.320767484358156,0.0645522588740161,6250003.55126811,6.57617213700951,0.000277777777777778
2,2,0.00176374635641369,0.373442865213834,0.363636363636364,-0.0346968775357799,0.0346968775357799,0.0247475304080008,4.35719937566964,3.62729263506437,0.11156597303763,0.668417972065983,0.321510450713724,0.353535714611823,0.0612980630917044,5882356.81079977,6.44564432751893,0.000277777777777778
2,2,-1.81290136913037e-05,0.397538790170716,0.386363636363636,-0.0267310851904892,0.0267310851904892,0.0248467081471252,3.33975967839455,3.61291598723088,0.118879044275092,0.640941025676438,0.341912608749729,0.353304146166622,0.0591696242893628,5555559.6775282,6.27309518034536,0.000277777777777778
2,2,-0.00153923853605087,0.421373949279853,0.409090909090909,-0.0119288010552348,0.0119288010552348,0.0242008127925307,1.48946533715239,3.50674345472696,0.112135688889902,0.614500758837111,0.362171841758477,0.335638938858291,0.0579439586122331,5263162.26911974,6.02132518859836,0.000277777777777778
2,2,-0.00285665669373047,0.445005417024309,0.431818181818182,-0.000297451510765434,0.000297451510765434,0.0230056447284424,0.037159232920488,3.33326424363663,0.105036064601444,0.589027524125328,0.382253884797915,0.318856991915376,0.0573666461011868,5000004.63169073,5.72211689081447,0.000277777777777778
2,2,-0.00301395923101389,0.467476769148369,0.454545454545455,-0.0430660909961373,0.0430660909961373,0.0240086670418272,5.30641359724984,3.43192171131729,0.0998296996178706,0.564567632899955,0.402127135252061,0.352914142319607,0.0552597332947201,4761909.6500416,5.70232149588282,0.000277777777777778
2,2,-0.000685018830961615,0.487461878335094,0.477272727272727,-0.0790205521475231,0.0790205521475231,0.026759261297112,9.30971981875325,3.72581161668909,0.0964794448997809,0.541163223499946,0.421763758434825,0.385268435203627,0.0538417361929409,4545459.68253526,5.86629414692238,0.000277777777777778
2,2,-0.000692889297236654,0.532097847974923,0.522727272727273,-0.0677798337317324,0.0677798337317324,0.0301300748249452,7.60335395185564,4.04198095342563,0.0933353947023348,0.497540513048748,0.460240831422335,0.445204762771273,0.0502039809078054,4166672.26445328,5.95675874387542,0.000277777777777778
2,2,0.000480912970213132,0.55323809529425,0.545454545454545,0.0394636952858649,0.0394636952858649,0.0305967558479912,4.38632810400537,4.05919831095462,0.0939253584246569,0.477359755317544,0.479053377634522,0.47294452463271,0.0505669899043187,4000005.79974523,5.89394151828062,0.000277777777777778
2,2,0.00144035635777495,0.574592701493465,0.568181818181818,-0.0618928416085156,0.0618928416085156,0.0321615601360174,6.72528286652414,4.1925025387331,0.0958945436617599,0.458286494734754,0.497574938129721,0.499297298401074,0.0486326281340785,3846159.82391357,5.92591618552075,0.000277777777777778
2,2,0.00300647380826469,0.595340633629752,0.590909090909091,-0.0102865923956421,0.0102865923956421,0.0310678117489987,1.11760291562357,4.03875755757762,0.0991006913202488,0.440327204564029,0.5158097204742,0.47433243348102,0.047774652894514,3703709.83379629,5.74783050885789,0.000277777777777778
2,2,0.00610911884378273,0.614552038181011,0.613636363636364,-0.0387989670716857,0.0387989670716857,0.031454369515133,4.18046824272719,4.0458430918351,0.0950003525406078,0.423060861962858,0.533769770659127,0.500615811806969,0.046274389587862,3571434.85852773,5.69185328506751,0.000277777777777778
2,2,0.00873950851342087,0.634235698098149,0.636363636363636,-0.0045299878950531,0.0045299878950531,0.030108150434129,0.488278143720412,3.86796484442936,0.0902134326134727,0.406418490495389,0.551474913909357,0.475585021216621,0.0456444204758108,3448282.31460691,5.51241965950382,0.000277777777777778
2,2,0.0129212866375599,0.652367969560787,0.659090909090909,-0.0542269807604705,0.0542269807604705,0.0313140919504461,5.7504388829193,3.96208854635386,0.0877642403200427,0.390485777986621,0.568952437193646,0.50180577015579,0.0443380870330775,3333339.95059209,5.52035363361767,0.000277777777777778
2,2,0.015360126499571,0.672243179285553,0.681818181818182,-0.0723575789003488,0.0723575789003488,0.0333662662979412,7.46022948898001,4.13699559348517,0.0872715927306508,0.375325068723823,0.586236515964415,0.526715481648,0.0435270204714826,3225813.22504016,5.58293027411323,0.000277777777777778
2,2,0.0203042509924052,0.689613104379496,0.704545454545455,-0.0647874895171401,0.0647874895171401,0.0349373274589012,6.53865388631128,4.25707850812647,0.0887073512427379,0.360994182849769,0.603367397609466,0.5503797075656,0.0428415900270565,3125006.91403962,5.61279663699442,0.000277777777777778
2,2,0.0251821303941885,0.707049274564489,0.727272727272727,-0.00712824045607929,0.00712824045607929,0.0335468731087601,0.719588684011191,4.08020401692071,0.0918835882939025,0.347538653121975,0.620390363761122,0.52286072218732,0.0420574355410838,3030310.06462437,5.46451760811614,0.000277777777777778
2,2,0.0298360453277411,0.724709409217713,0.75,-0.0338421179873047,0.0338421179873047,0.0335616353526873,3.39824395996264,4.04610601407281,0.0969112977204892,0.335007285351901,0.637354502568067,0.542159095476792,0.0409899385034406,2941183.60150937,5.40374485375868,0.000277777777777778
2,2,0.0369230356625744,0.739936468469657,0.772727272727273,-0.0267383484912163,0.0267383484912163,0.0332204710096137,2.67662506974016,3.97763196685617,0.102670695590247,0.323390455863818,0.654311329905573,0.532524953660497,0.0399020467969392,2857150.0626056,5.32582714564387,0.000277777777777778
2,2,0.0388231858291396,0.760350367889869,0.795454545454545,0.0104255807354168,0.0104255807354168,0.0320807264959039,1.04359946979473,3.8309303420031,0.112496706151056,0.31284576837818,0.671313304937655,0.505898705977472,0.0398811288653583,2777785.03000959,5.20687637687028,0.000277777777777778
2,2,0.0418945479191083,0.779593055386677,0.818181818181818,-0.0254876871706151,0.0254876871706151,0.0317510745296394,2.54431569170417,3.76659960948815,0.123972812394189,0.30340212057898,0.688412290165331,0.493153720169209,0.0392671541718938,2702709.97693594,5.1349152772712,0.000277777777777778
2,2,0.0460221049726758,0.797779547919886,0.840909090909091,-0.021393914376139,0.021393914376139,0.0312332165219644,2.13186122351555,3.68486269018952,0.136767720815901,0.295070400590827,0.705658008884881,0.468496034160748,0.0385763784128156,2631586.22258675,5.05588753901447,0.000277777777777778
2,2,0.0474423405144435,0.818673361964895,0.863636363636364,0.0162070600344184,0.0162070600344184,0.0304819086975871,1.61370437212832,3.58130477428646,0.157307847104709,0.288182272916521,0.723096553706283,0.445071232452711,0.0386707808510332,2564109.81577586,4.96762643217124,0.000277777777777778
2,2,0.0523080650206481,0.836121687045468,0.886363636363636,-0.0500925102789531,0.0500925102789531,0.0314624387766554,4.9291132262988,3.64869519688708,0.178003303808716,0.28267332446113,0.740768998399226,0.472817670830075,0.0378861563718298,2500007.2108283,4.96666360202442,0.000277777777777778
2,2,0.0548492833369002,0.855894518315992,0.909090909090909,-9.52110369887293e-05,9.52110369887293e-05,0.0298940773896721,0.0093734729522637,3.46672911069034,0.204475850186057,0.278763450747377,0.758710161886064,0.449176787288571,0.0374726107707951,2439031.54448012,4.8457540866812,0.000277777777777778
2,2,0.057213488411079,0.87584436282859,0.931818181818182,0.00332051097321751,0.00332051097321751,0.0285653990688493,0.327048516459166,3.30974508097878,0.235021107554094,0.276576333587713,0.776947567819533,0.426717947924143,0.0371502810159857,2380959.46615767,4.73816585881877,0.000277777777777778
2,2,0.0585890624212626,0.896782838405184,0.954545454545455,-0.0244666046467796,0.0244666046467796,0.0283604593477459,2.40402850465248,3.26445925216246,0.271065701597085,0.276300801988181,0.795500636081858,0.413911990082186,0.0363084654759153,2325588.40157592,4.68388359476839,0.000277777777777778
2,2,0.0595906157421655,0.918095334671058,0.977272727272727,0.0162562772014678,0.0162562772014678,0.027755250240432,1.5960643210387,3.18103950560628,0.325898581478396,0.278780690962692,0.814380134008223,0.393216390578077,0.0355051898536994,2272734.18945917,4.61370588400181,0.000277777777777778
2,2,0.060203195758386,0.939796804241614,1,0.181327496690057,0.181327496690057,0.0354338625629132,15.5193614281153,3.79795560173173,0.494248800866377,0.289554096457876,0.833587905519464,0.423555571049173,0.0371044147232799,2222229.03021058,4.85605378498211,0.000277777777777778
2,3,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.730565221424603,100000000,0,0.00012916162865618
2,3,0.0117193931727976,0.0287764745957974,0.0227272727272727,-0.104272096650275,0.104272096650275,0.00521360483251376,22.8288040550267,1.14144020275134,5.95224637576037,0.297612318788019,0.0406339313558183,0.05,0.410648414977648,50000000.0840019,11.4144020275134,0.00012916162865618
2,3,-0.0115168162285006,0.0743267335838725,0.0454545454545454,-0.0441957177072383,0.0441957177072383,0.00716271047624999,9.25677560373475,1.54720697280051,2.47855867428022,0.406659636562629,0.0817843315748167,0.0975,0.286397126514303,33333333.5238214,10.6951932195872,0.00012916162865618
2,3,-0.0411318700778864,0.126255837020035,0.0681818181818182,-0.0767314324859778,0.0767314324859778,0.0106411465767364,14.3329410470668,2.18649367651382,0.772804108372442,0.42496686015312,0.123469032826646,0.142625,0.219795275543891,25000000.4663633,11.6046301764571,0.00012916162865618
2,3,-0.0633495758618566,0.170787592390782,0.0909090909090909,-0.0794461196605458,0.0794461196605458,0.0140813952309269,13.4397910904995,2.7491585472131,0.419440818677088,0.424690558079318,0.165693604388376,0.18549375,0.176375306965326,20000000.8499159,11.9716623592655,0.00012916162865618
2,3,-0.088576143861327,0.21832820997703,0.113636363636364,-0.0651702791729312,0.0651702791729312,0.0166358394280271,10.4148894639543,3.13244509305016,0.224904807754941,0.414701270563099,0.208450271993209,0.2262190625,0.148851686334837,16666668.1159842,11.712200210047,0.00012916162865618
2,3,-0.113707710292113,0.265773825994592,0.136363636363636,-0.0700340881956496,0.0700340881956496,0.0193057518664082,10.5555350328786,3.50359959004158,0.160729537079635,0.402002683888926,0.251717216377712,0.264908109375,0.12824856433692,14285716.416791,11.5469623275944,0.00012916162865618
2,3,-0.134669282524094,0.30904944781335,0.159090909090909,-0.105829351366332,0.105829351366332,0.0236319318414044,14.2471611468028,4.04077766787964,0.124835120129827,0.388144305700971,0.295458304601461,0.30166270390625,0.115952249323453,12500002.8660129,11.8844871799954,0.00012916162865618
2,3,-0.1599233981979,0.356617613073933,0.181818181818182,-0.0598984013168677,0.0598984013168677,0.0254452553151776,7.81738831481893,4.22960820022661,0.11043323495652,0.374258752163748,0.339623292190719,0.336579568710937,0.103609166817205,11111114.6648165,11.4325873060869,0.00012916162865618
2,3,-0.182083125077028,0.401091389539838,0.204545454545455,-0.0785498564011133,0.0785498564011133,0.0281004853694743,9.7563764591403,4.50594661317229,0.119487901906071,0.361520209650864,0.384148516371654,0.369750590275391,0.0938421439448848,10000004.0352396,11.2649662213923,0.00012916162865618
2,3,-0.211109696157937,0.452432010207524,0.227272727272727,-0.0904492458564228,0.0904492458564228,0.0312179233938218,10.5908587480959,4.81019221991847,0.103105956372648,0.348599496986954,0.428958081345652,0.401263060761621,0.085809783927791,9090913.64101429,11.2036837238199,0.00012916162865618
2,3,-0.235993616322499,0.499629979958862,0.25,-0.092094446753086,0.092094446753086,0.034261749561785,10.2109691851366,5.08023106817938,0.0950197268644475,0.335920508480828,0.47396551653828,0.43119990772354,0.0793569282056382,8333338.38127396,11.1209575122629,0.00012916162865618
2,3,-0.263435793862276,0.549386207085417,0.272727272727273,-0.077325817244847,0.077325817244847,0.0364149529459381,8.27862871739459,5.24015095064014,0.0937268868965548,0.323810827401615,0.51907586888948,0.459639912337363,0.0738064862114334,7692313.17266036,10.9023168357346,0.00012916162865618
