battery_no,cycle_idx,num_cycles,cycle_frac,cycle_label,qnom_init_ah,soh_true,qnom_start_frac,rmse_ekf,rmse_v,residual_mean,residual_std,residual_late_mean,residual_end_minus_mid,residual_abs_area,residual_peak_abs,cluster_raw,cluster_shape
23,3,3,1,last,1.0795402859331,1.01895224692724,0.454272802275531,0.281714153654602,0.201058768580109,-0.241339260585187,0.14981744783661,-0.0949848626257959,0.397365278581988,0.243654308416675,0.474999031675988,2,1
25,1,3,0.333333333333333,first,1.07962037761269,1.01887665591527,1,0.0423312241375178,0.113127241858193,0.0336093914161804,0.0255260790068224,0.0684491094533116,0.0411995375071858,0.0335368405007205,0.0706571374575713,1,2
25,2,3,0.666666666666667,middle,1.07962037761269,1.01887665591527,0.459771308450931,0.27983336253684,0.202520033940232,-0.240347297825102,0.147805911516435,-0.0949956976916253,0.393603533021984,0.242607825190719,0.472298104226923,2,1
25,3,3,1,last,1.07962037761269,1.01887665591527,0.463535060542903,0.273089785487598,0.196513032630188,-0.234617107315458,0.144137663979794,-0.0949587495526341,0.383586047082619,0.23699878974453,0.46229652046049,2,1
27,1,3,0.333333333333333,first,1.0946593966214,1.00487878092043,1,0.0593637079156669,0.112400073458964,0.0497753896364189,0.032096947647873,0.0939264726006674,0.0485023341239593,0.0497216876216543,0.0973721614908618,1,2
27,2,3,0.666666666666667,middle,1.0946593966214,1.00487878092043,0.446265914934635,0.28210246240425,0.20223254909223,-0.242460633140548,0.148743304735879,-0.0949914627387381,0.3966215271012,0.244779108684931,0.480624425439225,2,1
27,3,3,1,last,1.0946593966214,1.00487878092043,0.453295767660183,0.268756518553027,0.197720145051516,-0.22989125794975,0.143468720556314,-0.0949120671887402,0.377936750327006,0.232437087135422,0.459074596821156,2,1
29,1,3,0.333333333333333,first,1.0925430987034,1.00682526969,1,0.0497490193859363,0.113147682520793,0.0413522644740901,0.0274289904182962,0.0795463586052703,0.0414711381180697,0.0412943655556832,0.0824617712177449,1,2
29,2,3,0.666666666666667,middle,1.0925430987034,1.00682526969,0.452879208822422,0.268072153556185,0.196581931477922,-0.229728535709763,0.14243047257345,-0.094975550887939,0.375802208280559,0.232129388863795,0.454138445732835,2,1
29,3,3,1,last,1.0925430987034,1.00682526969,0.443896549423086,0.278468019890724,0.203003602103351,-0.237971881245034,0.149028648353993,-0.0949853382508592,0.393117368140462,0.240583765008158,0.471334797339449,2,1
31,2,3,0.666666666666667,middle,1.07115856448041,1.02692545854178,1,0.0441055972395697,0.112769766086848,0.0376188728052812,0.0229335333471392,0.0661712675923369,0.027625703786445,0.0375877583752061,0.0677867412104987,1,2
31,3,3,1,last,1.07115856448041,1.02692545854178,0.461673707683787,0.268064143286226,0.198387205324457,-0.229315098994586,0.143083999261267,-0.0949456789822367,0.37673195591993,0.231968428976716,0.453591862841833,2,1
33,1,3,0.333333333333333,first,1.0751486,1.02311438623461,1,0.0501359129312805,0.113063201186648,0.0423921836558624,0.026607759551981,0.0777450745052498,0.0374539976441218,0.0423511177678049,0.0789009989607999,1,2
33,2,3,0.666666666666667,middle,1.0751486,1.02311438623461,0.455981558007335,0.278398544607747,0.200618243115028,-0.2401957986093,0.145266360332571,-0.0950080026682699,0.390900406733394,0.242350561970233,0.469931718572643,2,1
33,3,3,1,last,1.0751486,1.02311438623461,0.462182269453241,0.274027791701768,0.19694239142839,-0.236831780769883,0.142302188389043,-0.094974699288663,0.381057777979968,0.239077443391181,0.456340114601945,2,1
35,1,3,0.333333333333333,first,1.0821488,1.01649606782357,1,0.054130976288105,0.113133861115729,0.04827004532287,0.0244846368853658,0.0769655499630249,0.025908765062063,0.0482734566318693,0.0794304156882689,1,2
35,2,3,0.666666666666667,middle,1.0821488,1.01649606782357,0.456980315475167,0.2678141112293,0.197766120019968,-0.229908838172514,0.141639747631778,-0.0949086726020698,0.374855994677253,0.232253408875139,0.450624088717245,2,1
35,3,3,1,last,1.0821488,1.01649606782357,0.449811703028447,0.272319668686234,0.200746293596742,-0.232290735645003,0.146412228694061,-0.0949535423575011,0.38515555158101,0.23513528758002,0.463929482453567,2,1
37,1,3,0.333333333333333,first,1.0794082,1.01907693493527,1,0.0581208393029441,0.111742684511504,0.0509337348374339,0.0280328243982448,0.0823494489595387,0.0249088457576845,0.050941498277867,0.0834827977010684,1,2
37,2,3,0.666666666666667,middle,1.0794082,1.01907693493527,0.453069274485522,0.264401973158062,0.200835401628328,-0.225602260519118,0.142050400465295,-0.0949096382656981,0.37031398672155,0.228530070412229,0.448956127770249,2,1
37,3,3,1,last,1.0794082,1.01907693493527,0.461030171132435,0.264204578978775,0.192645739400386,-0.229123227870621,0.135892080528009,-0.0948881222886543,0.362800506287495,0.231192782021737,0.443242633432676,2,1
39,2,3,0.666666666666667,middle,1.06855749823931,1.02942518471164,1,0.047524814355986,0.111922474128882,0.0432034102901973,0.0200087729468057,0.0628055984965806,0.0104612455956393,0.0432377589487859,0.0672955457183537,1,2
39,3,3,1,last,1.06855749823931,1.02942518471164,0.466824770108709,0.256949820425492,0.19482225760483,-0.219757818218868,0.13722864577952,-0.0949066668822788,0.354882007811231,0.222466988122705,0.434190004450005,2,1
41,2,3,0.666666666666667,middle,1.08406938164161,1.01469520182764,1,0.0525727282515429,0.111708076588173,0.0463390005155568,0.0248800340003185,0.0751841338562271,0.0246326650854589,0.0463457354112388,0.0763551781556032,1,2
41,3,3,1,last,1.08406938164161,1.01469520182764,0.45822424314925,0.25354156476104,0.192680830080885,-0.217455003546167,0.134419148922825,-0.0948640211133181,0.348719829591719,0.219833067782563,0.433329595712664,2,1
42,1,3,0.333333333333333,first,1.0698104,1.02821957984331,1,0.0508463101877774,0.112320751949946,0.0444028202118783,0.0248772906497692,0.0686900912697017,0.01260869196384,0.0444150491291826,0.072091132405646,1,2
42,2,3,0.666666666666667,middle,1.0698104,1.02821957984331,0.459249712379373,0.251151637773083,0.195683709166716,-0.214733917517789,0.134222503907342,-0.0948773825850827,0.346712246358184,0.217517599101787,0.427865821792225,2,1
42,3,3,1,last,1.0698104,1.02821957984331,0.458761465200341,0.2598823370978,0.195362852050388,-0.223431286764,0.136900946088968,-0.0949104299618384,0.362324996251882,0.225510205765474,0.441185039398454,2,1
44,1,3,0.333333333333333,first,1.07277289948017,1.02538011589687,1,0.0546268508491728,0.112116967569846,0.049460825980059,0.0233331373980112,0.0735748705433919,0.0154379484679783,0.049491974600123,0.0757916265403255,1,2
