scenario_name,battery_no,num_cycles_evaluated,mean_rmse_ekf,mean_rmse_gpr,mean_rmse_ekf_late,mean_rmse_gpr_late,num_gpr_improved_vs_ekf,num_gpr_worse_vs_ekf,gpr_improve_rate_vs_ekf,gpr_failure_rate_vs_ekf,num_qnom_clamped_cycles
high_noise,11,3,0.0254526080370598,0.0399816352007933,NaN,NaN,0,3,0,1,3
high_noise,13,3,0.0213383460555822,0.0396929607720047,NaN,NaN,0,3,0,1,3
high_noise,17,3,0.0307389336249273,0.0410014989457698,NaN,NaN,0,3,0,1,3
high_noise,20,3,0.0298214886104884,0.0426946327184787,NaN,NaN,0,3,0,1,3
high_noise,22,3,0.0313415524744522,0.0460082391109933,NaN,NaN,0,3,0,1,3
high_noise,24,3,0.0335269711017644,0.0438052625706971,NaN,NaN,0,3,0,1,3
high_noise,26,3,0.0369314258357221,0.0455970051562205,NaN,NaN,0,3,0,1,3
high_noise,28,3,0.0336714560526141,0.0445188699157766,NaN,NaN,0,3,0,1,3
high_noise,30,3,0.0344168666578707,0.0429640791302388,NaN,NaN,0,3,0,1,3
high_noise,32,3,0.0292003052679326,0.0436550458280502,NaN,NaN,0,3,0,1,3
high_noise,34,3,0.0413522146237899,0.043859152795355,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,36,3,0.0380817635877945,0.0480185369678796,NaN,NaN,0,3,0,1,3
high_noise,38,3,0.0392482515732499,0.0475327574761198,NaN,NaN,0,3,0,1,3
high_noise,40,3,0.0437324790934457,0.0498344533229609,NaN,NaN,0,3,0,1,3
high_noise,43,3,0.0407957792172187,0.0444583191112684,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,45,3,0.0324226774951702,0.0416488316970842,NaN,NaN,0,3,0,1,3
high_noise,47,3,0.0446542746212481,0.0437035694645846,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
high_noise,49,3,0.0351384342203231,0.0422383243673717,NaN,NaN,0,3,0,1,3
high_noise,51,3,0.0437153443179894,0.0451952686854601,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,53,3,0.0385209503572074,0.0459102690555694,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,55,3,0.0330328164446007,0.0402146677558204,NaN,NaN,0,3,0,1,3
high_noise,57,3,0.047246260674286,0.0486344915368292,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
