scenario_name,battery_no,cycle_idx,phase,soh_proxy,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,res_energy_ekf,res_energy_gpr,late_peak_ekf,late_t_ekf,late_peak_gpr,late_t_gpr,mid_valley_ekf,mid_t_ekf,mid_valley_gpr,mid_t_gpr,rmse_v
baseline,30,1,FIRST,1,1,0,1,1,0,0.0442286103029369,0.0559584381201388,0.0117298278172019,0.00194306566107749,0.00308780725446022,0.0700737472627755,0.909090909090909,0.0991308173697485,0.977272727272727,0.00423647718368392,0.159090909090909,-0.0257635228163161,0.159090909090909,0.107534402469147
baseline,30,2,MIDDLE,0.97,1,0,1,1,0,0.0232100565951242,0.0407995306855556,0.0175894740904314,0.000538215435982893,0.00166030700906876,0.0383980618663982,0.818181818181818,0.0677374109109747,0.818181818181818,0.00308504060921461,0.159090909090909,-0.0269149593907854,0.159090909090909,0.112854993914908
baseline,30,3,LAST,0.94,1,0,1,1,0,0.0217937101354316,0.0334012596402431,0.0116075495048115,0.000477590492002537,0.00110916559352131,0.0387107546511952,0.795454545454545,0.0564168348732021,0.977272727272727,-0.00261534756536114,0.159090909090909,-0.0326153475653611,0.159090909090909,0.10985002581844
baseline,32,1,FIRST,1,1,0,1,1,0,0.0549308459678799,0.0583797296056362,0.00344888363775626,0.00300163466499564,0.00334152617373589,0.0858017132241877,0.886363636363636,0.108721453779522,0.977272727272727,0.0112731540997122,0.159090909090909,-0.0187268459002878,0.159090909090909,0.111182729906659
baseline,32,2,MIDDLE,0.97,1,0,1,1,0,0.030425624923418,0.0443416021959362,0.0139159772725182,0.000925392602929075,0.00195243183835561,0.0501535695916033,0.840909090909091,0.0772579896759066,0.909090909090909,0.00424222973465294,0.272727272727273,-0.0257577702653471,0.272727272727273,0.112787402805979
baseline,32,3,LAST,0.94,1,0,1,1,0,0.0203870146963886,0.0328294488796549,0.0124424341832663,0.000417819695861635,0.00107281718224278,0.0345046673147401,0.75,0.0557462730004373,0.954545454545455,0.00139199117262326,0.227272727272727,-0.0286080088273768,0.227272727272727,0.114894724335017
baseline,34,1,FIRST,1,1,0,1,1,0,0.0437707470024934,0.0556830370778155,0.0119122900753221,0.00190562504139284,0.00306180109887075,0.0702319829130291,0.886363636363636,0.0974293371903948,0.954545454545455,0.00788036998424169,0.159090909090909,-0.0221196300157583,0.159090909090909,0.114376903356727
baseline,34,2,MIDDLE,0.97,1,0,1,1,0,0.0415600555274176,0.0442871088870514,0.0027270533596338,0.00172341316886294,0.00192049147292258,0.0618669367210358,0.863636363636364,0.0840534924755213,0.977272727272727,0.0108646544339884,0.181818181818182,-0.0191353455660116,0.181818181818182,0.114121584431569
baseline,34,3,LAST,0.94,1,0,1,1,0,0.0157573187480572,0.0315839660480824,0.0158266473000252,0.000249896448616822,0.00100254837047208,0.026758425873611,0.704545454545455,0.0515427709166402,0.931818181818182,-9.49406858976598e-05,0.272727272727273,-0.0300949406858977,0.272727272727273,0.105514556677261
baseline,36,1,FIRST,1,1,0,1,1,0,0.0533369117289104,0.0605864406882311,0.00724952895932068,0.00283678285218987,0.00361810950495496,0.076790406941582,0.840909090909091,0.106518828054125,0.977272727272727,0.00798424548651627,0.159090909090909,-0.0220157545134837,0.159090909090909,0.108687359960647
