scenario_name,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,rmse_ekf_late,rmse_gpr_late,delta_gpr_vs_ekf_late,mean_abs_residual_pred,rmse_v,is_gpr_improved_vs_ekf,is_gpr_worse_vs_ekf,is_selected_cycle
baseline,38,3,0.94,1,0,1,1,0,0.0217439980665133,0.032015276159101,0.0102712780925878,NaN,NaN,NaN,0.0218378200835334,0.108535622788971,0,1,1
baseline,40,1,1,1,0,1,1,0,0.0606114771110112,0.0632531933096615,0.00264171619865033,NaN,NaN,NaN,0.0184488567013569,0.115070033428393,0,1,1
baseline,40,2,0.97,1,0,1,1,0,0.0415989125329956,0.0490645672505852,0.00746565471758961,NaN,NaN,NaN,0.0198205894057528,0.102718752224927,0,1,1
baseline,40,3,0.94,1,0,1,1,0,0.029405866277956,0.0353692482366658,0.00596338195870979,NaN,NaN,NaN,0.0209620887663107,0.106918434295909,0,1,1
baseline,43,1,1,1,0,1,1,0,0.0519375070954474,0.0568075496139465,0.00487004251849914,NaN,NaN,NaN,0.0201330997180791,0.106744515082589,0,1,1
baseline,43,2,0.97,1,0,1,1,0,0.0467018129511208,0.0454684961312232,-0.00123331681989752,NaN,NaN,NaN,0.0213785020368132,0.109770169743567,1,0,1
baseline,43,3,0.94,1,0,1,1,0,0.0190457067961489,0.0279163598852987,0.00887065308914983,NaN,NaN,NaN,0.0226752552347282,0.117354233355886,0,1,1
baseline,45,1,1,1,0,1,1,0,0.0522192688576344,0.0557881984355757,0.00356892957794132,NaN,NaN,NaN,0.0211104109619907,0.108929658159351,0,1,1
baseline,45,2,0.97,1,0,1,1,0,0.0303347431425875,0.0409182967976017,0.0105835536550141,NaN,NaN,NaN,0.02124701723191,0.102601111143405,0,1,1
baseline,45,3,0.94,1,0,1,1,0,0.0254682617593663,0.0283876514204912,0.00291938966112486,NaN,NaN,NaN,0.0213893181693835,0.105294039710115,0,1,1
baseline,47,1,1,1,0,1,1,0,0.0517195890863003,0.0562377279231557,0.0045181388368554,NaN,NaN,NaN,0.0202488506638264,0.113471933990718,0,1,1
baseline,47,2,0.97,1,0,1,1,0,0.0454719025540337,0.043631441400134,-0.00184046115389967,NaN,NaN,NaN,0.0210456807299741,0.117023633982519,1,0,1
baseline,47,3,0.94,1,0,1,1,0,0.0241735397163574,0.0273911635193883,0.00321762380303089,NaN,NaN,NaN,0.0223943171419234,0.107496418204477,0,1,1
baseline,49,1,1,1,0,1,1,0,0.0543258042158536,0.0565560391006128,0.00223023488475924,NaN,NaN,NaN,0.0203348242528556,0.109392974092848,0,1,1
baseline,49,2,0.97,1,0,1,1,0,0.0387304257494248,0.0424885855094112,0.00375815975998633,NaN,NaN,NaN,0.0210213532090834,0.109246543754144,0,1,1
baseline,49,3,0.94,1,0,1,1,0,0.0211809099259502,0.0282542028719416,0.00707329294599144,NaN,NaN,NaN,0.0202472646575152,0.114212492951456,0,1,1
baseline,51,1,1,1,0,1,1,0,0.0574692774564826,0.0584299959083195,0.000960718451836894,NaN,NaN,NaN,0.0204761090370913,0.110968339290189,0,1,1
baseline,51,2,0.97,1,0,1,1,0,0.0475376497744577,0.0451284272470308,-0.00240922252742693,NaN,NaN,NaN,0.0199712589992886,0.110862321841489,1,0,1
